WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
J1994019,1994-07-02,DOUGLAS DC-9-31,USAIR,"CHARLOTTE-DOUGLAS INTL. AP.,  CHARLOTTE,  NORTH CAROLINA, US",0,2,5,37,14,52
J1994028,1994-09-08,BOEING 737-300,USAIR,"ALIQUIPPA, 38KM NW OF  PITTSBURGH,  PENNSYLVANIA, US",5,0,5,127,0,127
J1994030,1994-09-18,BAC ONE-ELEVEN 500,ORIENTAL AIRLINES,"AGUENAR AP.,  TAMANRASSET, DZ",3,4,7,2,30,32
J1994036,1994-10-12,FOKKER F.28-1000,IRAN ASSEMAN AIRLINES,"KARKAS MOUNTAINS, NR. NATANZ, IR",7,0,7,59,0,59
J1994047,1994-12-11,BOEING 747-200BM,PHILIPPINE AIRLINES,"NR. MINAMI DAITO ISLAND, 300KM E OF  OKINAWA, JP",0,0,20,1,0,273
J1994053,1994-12-29,BOEING 737-400,THY - TURKISH AIRLINES,"NR. VAN AP.,  VAN, TR",5,2,7,52,17,69
J1994054,1994-12-24,AIRBUS A300 B2-100,AIR FRANCE,"HOUARI BOUMEDIENE AP.,  ALGIERS, DZ",0,1,12,3,0,227
J1995002,1995-01-11,DOUGLAS DC-9-14,INTERCONTINENTAL COLOMBIA,"MARIA LA BAJA, 40KM S OF  CARTAGENA, CO",5,0,5,46,1,47
J1995012,1995-03-31,AIRBUS A310-320,TAROM,"NR. OTOPENI AP.,  BUCHAREST, RO",10,0,10,50,0,50
J1995014,1995-12-20,BOEING 757-200,AMERICAN AIRLINES,"MT. EL DELUVIO, NR. BUGA, CO",8,0,8,152,4,156
